bench,batch,avg_duration(ms),SM_util(%),l2_util(%),mem_util(%),achieved occupancy,theoretical occupancy
bert,4,0.011738038740920099,24.481606230442214,14.006191661801928,30.31561936214498,24.260318886259974,62.660845825228286,
bert,12,0.01972890274314214,43.7498118385244,17.865937160690596,34.482223240457635,33.7031679283657,62.381940871842666,
bert,2,0.009072693266832915,16.761009386638836,10.655704272776001,29.276690130973186,24.105832249907273,66.4526270219754,
bert,20,0.034603266832917715,45.44907806406927,18.369146174917535,32.75435789076173,40.32475578178293,60.15291069198348,
bert,24,0.033421336760925464,51.75233110784633,22.951928997223256,38.17821661577276,44.61214299779244,61.18382188925381,
bert,28,0.04350307917888564,54.159164383146106,17.502143705066892,34.03916457863569,34.46312616830303,58.3881715319979,
bert,16,0.024630179948586118,47.40420144158212,18.009285815675376,34.40628233174757,32.26316747276421,61.979054684515624,
bert,8,0.0173707712082262,34.22171682775342,16.251708451540086,30.201366343901302,30.283134953227894,57.40828712356994,
bert,32,0.04458454545454547,53.60527396300677,18.300060690651325,34.71728395686997,34.829523012392684,58.866157940398566,
bert,1,0.009175484764542942,16.709283620390337,9.237958126405722,29.02842634383441,23.064556010083447,77.71804760970308,
densenet161,2,0.02769719640179911,19.751262464118557,12.858341325633884,25.243057697751905,29.289062559712185,75.71816355175339,
densenet161,1,0.023880646153846188,13.398230913736368,8.988134762491924,18.314045052253416,24.74594147046658,77.58687111932282,
densenet161,8,0.04491722074468085,38.15256426493777,22.203046153162948,44.97901668998081,43.98400869803342,69.02709623938837,
densenet161,28,0.09224149253731367,44.59032543550498,25.779906689032995,60.6098584068054,57.93606861311936,70.67204223247282,
densenet161,20,0.08832309808612439,47.486478613821646,24.336046918048112,56.884020280313294,55.56580534767208,71.54045519312449,
densenet161,16,0.06793784688995216,41.605713967030134,23.36011638839612,53.88687997085706,53.55882532655441,73.2574621399661,
densenet161,24,0.10583179425837348,44.21124792343346,26.605096965958143,57.39754182802022,62.45036260143768,77.48199555627755,
densenet161,32,0.10457808102345416,43.68009057718375,25.509840348424195,60.006197274172315,58.240935253690765,70.72533450995701,
densenet161,4,0.034948398203592836,30.132013713117683,19.2876274901448,36.599424052484515,37.743475877394935,75.1892814170421,
densenet161,12,0.05743123670212767,43.796019314494814,25.795429015596607,51.77878864155071,49.11177858396335,69.36015237000579,
googlenet,16,0.03313610108303249,39.68563984006449,23.5700733219301,52.39186709446872,50.8710212012594,77.95856166995321,
googlenet,24,0.05026039711191339,42.58711694259422,24.61962081951539,54.162863591993435,53.97628056195428,75.4746579725946,
googlenet,32,0.05548710344827586,46.40183792319558,24.922569780116653,56.278445274018324,54.941049035314826,72.3899806478797,
googlenet,20,0.04318180505415161,44.26808535149854,25.14117330303579,55.60602638830364,53.674736175485116,75.53942444671848,
googlenet,4,0.019132008733624452,26.082698397482005,16.847076711334495,32.60361864134048,30.582480810183437,76.10933459325355,
googlenet,2,0.015000225225225226,17.869256888034723,12.266038918334559,23.91216294049638,24.030236753201887,82.80536328283354,
googlenet,8,0.025779382716049383,35.59052460016058,22.32547374923976,43.385812233912674,38.69930286907424,74.10986943660907,
googlenet,1,0.013759817351598175,10.235900179199575,7.405663569390055,15.889867558239867,18.514658160217703,84.65222008362649,
googlenet,12,0.029474317343173462,36.94037564757103,23.06308824744539,49.57102917794458,47.377146593319054,78.96893161098401,
googlenet,28,0.05255727586206901,44.69033746434921,24.20472955284907,54.768331462358695,53.46877671059681,71.86396319024041,
lenet,28,0.007004999999999998,16.3625808945991,7.118724125624556,24.677200808946004,39.282028313109684,75.72195455626935,
lenet,1,0.004815000000000001,7.8097969308872734,2.414363678320065,11.276959732317987,32.09846659743856,90.95203069112726,
lenet,32,0.007228749999999999,17.71793244567411,6.97383307395239,25.395081560896887,41.08155743846906,73.45524237708224,
lenet,4,0.006274285714285712,13.604639496053437,4.445195810564663,17.75280510018215,45.81811778992107,85.20842820279297,
lenet,24,0.008297894736842105,17.445839147532663,6.770213751109986,23.032025244196372,38.62759799568692,75.75716732208554,
lenet,20,0.007865263157894736,17.584832708779437,6.590162607066381,22.79180875267666,38.28098567987152,75.43495717344754,
lenet,16,0.006722222222222223,13.231278512396694,5.37234214876033,18.10224958677686,34.97058595041322,81.94473140495867,
lenet,12,0.006608888888888888,12.61539004707465,5.039346839273705,17.084224949562877,35.0971368527236,86.35518241425692,
lenet,8,0.00654888888888889,11.471743298269425,4.347428741092636,14.977994570749914,34.70092382083474,82.09460892432983,
lenet,2,0.005246666666666666,7.714156077933078,2.5218191444303266,11.220739093604404,31.016210292249053,90.25968869123253,
mnasnet1_0,4,0.016363604651162784,22.41761595145211,14.982531816922128,37.84083658430862,49.09905885153524,90.48370248779561,
mnasnet1_0,8,0.024680171428571426,28.043403634612396,18.55881883200628,46.574773178236775,58.83540167583924,89.51790101018047,
mnasnet1_0,12,0.033071771428571435,30.827740775041633,20.411845060785556,51.306377471680584,65.00711448347832,89.6828715382648,
mnasnet1_0,16,0.04031039325842696,33.24391842792935,21.50054183477928,54.27490329953662,68.34333495000182,88.51106233232292,
mnasnet1_0,28,0.061259946808510664,34.72605193945924,21.041147507960055,56.382020401376394,72.13586071562838,84.52209671551387,
mnasnet1_0,1,0.011216114649681527,9.455584662649851,8.006764891279047,20.01548340933485,26.929751154219645,96.69336657334478,
mnasnet1_0,2,0.012760484848484846,15.247408524421994,11.168578898873417,28.564453141326442,38.037172331249884,92.25028259589266,
mnasnet1_0,20,0.048455112359550585,34.167945567599325,21.913828343387422,56.13575612086242,70.79397962437143,88.14795577048606,
mnasnet1_0,32,0.06841648936170212,35.71108320440358,21.56946668947235,57.637114862816105,73.29620445798967,84.9664912185224,
mnasnet1_0,24,0.057002640449438265,34.617233165820174,22.52245888471556,57.11174753387134,72.0111820958421,88.68631159408133,
mobilenet_v2,2,0.011547272727272725,14.334998740355852,12.244206004303788,30.300883587886442,38.212703143861816,92.10176875032803,
mobilenet_v2,24,0.05811662921348314,30.13682786260873,24.445973343025845,60.91960647709571,72.18449641170993,87.63156419288603,
mobilenet_v2,32,0.0711123404255319,30.597877010603554,23.869595021961057,62.28067099405194,73.74523513140738,85.31410444367316,
mobilenet_v2,8,0.023240172413793104,25.8207019652356,20.71282927649556,51.08944292359395,60.607858889803886,89.17278098021916,
mobilenet_v2,28,0.06311090425531919,30.01062684315436,23.41168852535007,61.06414629767757,72.60554562425986,84.83802997930862,
mobilenet_v2,4,0.015531502890173405,20.198355309923915,15.922452483298915,39.86575593144645,49.083066636893136,87.34345633525002,
mobilenet_v2,12,0.03260793103448276,27.721044576983953,22.54134885385051,55.413490441998185,65.61450944520234,89.3201710323629,
mobilenet_v2,1,0.009742578616352204,9.132464962848676,8.576624232604077,21.77561059216175,27.832635968677963,96.12541718579527,
mobilenet_v2,16,0.0401283146067416,29.005990670377585,23.216636715928097,57.87012068028959,68.80772603054247,87.25527941267059,
mobilenet_v2,20,0.04817168539325842,30.031475341008743,24.302844530798072,60.56666863372579,71.57527481293508,88.0420686309268,
resnet50,20,0.10508603773584903,50.624492480555006,27.57100896300606,59.861888651886346,56.72593807051186,67.05553041891994,
resnet50,16,0.08446188679245287,47.682975739867,26.780005182643528,58.42497335853165,55.691645659089254,68.06757206555149,
resnet50,4,0.03603710407239818,39.39803188016378,23.02484696516914,43.9120672383918,39.07955994324606,67.14820697621863,
resnet50,32,0.1408786986301371,48.42085498843118,28.1903444258127,62.27229222750162,59.36716866594153,67.76344040997088,
resnet50,28,0.12939780821917818,47.05729263267992,27.281000903553217,59.77336633128796,58.270278690858696,67.32680771519071,
resnet50,8,0.05678154867256637,46.522163212061784,25.804610379945494,51.32452611818465,46.17098708526623,65.38656728979174,
resnet50,12,0.07352048387096773,44.88056944849695,25.166019065347164,52.65539541865667,51.73082685426707,68.37187545932997,
resnet50,24,0.12871026415094342,47.62263693326713,26.48206984122888,58.04376461744415,56.52198874054407,67.20883924754796,
resnet50,1,0.0227549,19.600066820772668,15.397160018281777,27.939154423882307,24.684383473449678,80.49211378648113,
resnet50,2,0.026184930875576037,29.262375341641235,18.812846714172323,35.02972855249701,31.346712694007344,72.2162507721577,
ssd-mobilenetv1,8,0.04713175531914897,38.65293449666336,20.089856378170257,46.42970027435538,53.47640808868753,74.57883174938517,
ssd-mobilenetv1,32,0.134056836734694,42.4438451555348,27.573072364219552,61.23087029793175,68.30080342102829,77.52302176125416,
ssd-mobilenetv1,24,0.09985772020725396,44.372621932552676,25.25783934032567,58.093663020027364,66.4392657221102,77.72296749675961,
ssd-mobilenetv1,20,0.08634911917098446,44.3551431410505,24.832336370367802,57.359010217588775,64.94209356162294,77.19129416790966,
ssd-mobilenetv1,12,0.05941263157894737,40.724962510187446,22.78793261223909,52.017913663583855,59.71475776017857,76.59717054675589,
ssd-mobilenetv1,4,0.036070718562874256,27.94036415491193,15.763157370501402,34.2667102548055,43.90862789497013,66.47719632591328,
ssd-mobilenetv1,2,0.027802795031055913,19.351032828818763,11.603776710416088,26.145442032951692,36.706549812901365,65.91306897514663,
ssd-mobilenetv1,16,0.07237678756476688,41.23572906465299,23.348301361900003,54.04695330710329,62.80941907347272,77.41072553533897,
ssd-mobilenetv1,28,0.11806831632653068,42.187090723590934,26.91161846803494,58.93359620575945,67.02070708371448,76.69406418542712,
ssd-mobilenetv1,1,0.023615512820512816,13.267928485730268,10.578629296257901,20.50362674469737,30.670650647933506,68.40798231279958,
vgg16,16,0.35489112359550556,52.532892423724846,30.520814400745177,60.8393803005258,58.26713098589187,61.6839125530191,
vgg16,24,0.6116475280898874,54.34343518876904,29.687543135936245,60.088540787701234,58.20442221349852,61.05308364974101,
vgg16,32,0.6779388764044945,52.74308076728272,30.22063523343061,61.14548181566864,58.9697807100703,61.90474730412209,
vgg16,12,0.3192352808988762,56.67578152002292,31.398055606199385,61.02966352174478,57.616457151465234,61.840655724318786,
vgg16,2,0.10638208955223878,50.10736277288287,33.762562110668384,55.928948636287124,44.580684943038335,48.8724640832819,
vgg16,28,0.6530551685393257,53.07155654210264,29.97919331109388,60.87928317737668,58.6078937512549,61.769376212860195,
vgg16,8,0.2927426582278481,60.28220776272591,32.05999721101224,56.68343269048246,50.02090580269446,53.09364685879982,
vgg16,4,0.1896646268656717,53.82333004919129,34.994820810967965,54.18538819109612,41.243248672243936,44.45976125966256,
vgg16,20,0.5702047191011231,55.697794803443394,29.33563653464104,59.15239919547921,57.1310361683622,60.269025199307535,
vgg16,1,0.06743208955223878,41.55227397381558,31.00770938146727,55.95415336601776,49.580822585464674,54.866781394216424,
